Date,Open,High,Low,Close,Adj Close,Volume
2019-02-03,111.000000,111.970001,105.820000,107.209999,107.209999,44473549
2019-02-04,107.209999,109.059998,106.440002,106.900002,106.900002,33113542
2019-02-05,106.900002,107.339996,105.879997,106.930000,106.930000,24525280
2019-02-06,106.930000,107.300003,101.250000,104.500000,104.500000,69541037
2019-02-07,104.500000,106.019997,103.690002,104.300003,104.300003,31783120
2019-02-08,104.300003,123.260002,103.510002,119.489998,119.489998,132561283
2019-02-09,119.489998,121.580002,117.489998,119.459999,119.459999,39089760
2019-02-10,119.459999,126.389999,116.330002,125.580002,125.580002,68515466
2019-02-11,125.580002,125.580002,119.730003,120.760002,120.760002,68979406
2019-02-12,120.760002,124.309998,118.250000,122.629997,122.629997,65949880
2019-02-13,122.629997,126.809998,121.110001,122.309998,122.309998,65675655
2019-02-14,122.309998,124.750000,120.070000,120.849998,120.849998,58046997
2019-02-15,120.849998,124.750000,120.620003,122.019997,122.019997,49509064
2019-02-16,122.019997,125.309998,122.019997,123.260002,123.260002,29940250
2019-02-17,123.260002,136.270004,123.070000,134.279999,134.279999,135450665
2019-02-18,134.279999,149.770004,133.110001,146.529999,146.529999,221696151
2019-02-19,146.529999,151.250000,143.979996,144.399994,144.399994,123011057
2019-02-20,144.399994,150.350006,141.389999,149.229996,149.229996,109146484
2019-02-21,149.229996,151.860001,143.639999,146.360001,146.360001,95560599
2019-02-22,146.360001,150.029999,144.309998,149.039993,149.039993,103047931
2019-02-23,149.039993,161.509995,147.169998,159.479996,159.479996,141170976
2019-02-24,159.479996,167.669998,133.149994,133.419998,133.419998,241116547
2019-02-25,133.419998,142.539993,133.210007,139.020004,139.020004,121457228
2019-02-26,139.020004,139.470001,134.460007,137.119995,137.119995,61461262
2019-02-27,137.119995,141.639999,127.720001,135.940002,135.940002,112907848
2019-02-28,135.940002,140.699997,134.009995,136.289993,136.289993,97737312
2019-03-01,136.289993,139.059998,135.690002,136.149994,136.149994,45791967
2019-03-02,136.149994,136.809998,131.130005,133.809998,133.809998,52821793
2019-03-03,133.809998,135.979996,128.880005,131.210007,131.210007,36361053
2019-03-04,131.210007,131.729996,123.959999,126.430000,126.430000,77542631
2019-03-05,126.430000,139.000000,126.050003,137.929993,137.929993,97489028
2019-03-06,137.929993,141.710007,134.699997,138.490005,138.490005,84214712
2019-03-07,138.490005,141.119995,135.979996,137.649994,137.649994,58635308
2019-03-08,137.649994,140.529999,131.610001,134.419998,134.419998,73110484
2019-03-09,134.419998,139.839996,133.740005,138.240005,138.240005,48811186
2019-03-10,138.240005,138.529999,135.070007,136.360001,136.360001,29367443
2019-03-11,136.360001,137.110001,131.960007,133.539993,133.539993,53827993
2019-03-12,133.539993,136.210007,129.139999,134.369995,134.369995,63258337
2019-03-13,134.369995,134.419998,131.610001,132.929993,132.929993,31732444
2019-03-14,132.929993,136.479996,130.300003,132.889999,132.889999,44781103
2019-03-15,132.889999,138.910004,132.860001,137.630005,137.630005,72468725
2019-03-16,137.630005,145.910004,137.570007,141.679993,141.679993,78670145
2019-03-17,141.679993,141.690002,138.100006,139.740005,139.740005,37641607
2019-03-18,139.740005,142.850006,137.190002,138.500000,138.500000,54258503
2019-03-19,138.500000,140.190002,137.729996,139.460007,139.460007,34618229
2019-03-20,139.460007,140.789993,136.720001,140.220001,140.220001,43575339
2019-03-21,140.220001,140.649994,133.529999,135.610001,135.610001,57758749
2019-03-22,135.610001,137.990005,135.089996,136.759995,136.759995,32302482
2019-03-23,136.759995,138.649994,136.429993,137.740005,137.740005,27909491
2019-03-24,137.740005,137.759995,135.020004,136.210007,136.210007,24934808
2019-03-25,136.210007,136.899994,131.770004,133.960007,133.960007,43666884
2019-03-26,133.960007,134.940002,132.800003,134.289993,134.289993,34634601
2019-03-27,134.289993,140.600006,134.210007,140.229996,140.229996,59960569
2019-03-28,140.229996,140.229996,137.630005,138.389999,138.389999,28808077
2019-03-29,138.389999,144.619995,138.020004,144.410004,144.410004,52211663
2019-03-30,144.410004,147.070007,141.179993,143.289993,143.289993,44333469
2019-03-31,143.289993,143.339996,141.389999,142.399994,142.399994,18780247
2019-04-01,142.399994,143.940002,140.080002,141.850006,141.850006,47175484
